//Version: PianoFingering_v170101
0	0.00228886	0.240101	F#3	54	80	1	-2
1	0.24033	0.472649	G#3	50	80	1	-1
2	0.472878	0.702908	E3	52	80	1	-2
3	0.704053	0.943238	Eb3	54	80	1	-3
4	0.943467	1.17649	E3	50	80	1	-1
5	1.17672	1.413	C#3	52	80	1	-2
6	1.41415	2.14407	G#3	41	80	0	1
7	1.41415	2.14407	Eb4	41	80	0	2
8	1.41415	2.11614	G#4	55	80	0	5
9	1.41415	1.65334	C3	54	80	1	-1
10	1.65357	1.88588	Bb2	50	80	1	-2
11	1.88611	2.11614	G#2	52	80	1	-3
12	2.11729	2.60756	Bb3	49	80	0	1
13	2.11729	2.81928	G4	49	80	0	4
14	2.11729	2.35647	E3	54	80	1	-1
15	2.3567	2.58902	Eb3	50	80	1	-2
16	2.58925	2.82844	E4	49	80	0	2
17	2.58925	2.81928	C#3	52	80	1	-3
18	2.82042	3.55034	G#3	41	80	0	1
19	2.82042	3.55034	Eb4	41	80	0	2
20	2.82042	3.52242	G#4	55	80	0	5
21	2.82042	3.05961	C3	54	80	1	-1
22	3.05984	3.29216	Bb2	50	80	1	-2
23	3.29239	3.52242	G#2	52	80	1	-3
24	3.52356	3.7719	Bb3	49	80	0	1
25	3.52356	4.22555	G4	49	80	0	4
26	3.52356	3.76275	E3	54	80	1	-1
27	3.76298	4.00445	F#4	49	80	0	3
28	3.76298	3.9953	Eb3	50	80	1	-2
29	3.99552	4.23471	E4	49	80	0	2
30	3.99552	4.22555	C#3	52	80	1	-3
31	4.2267	5.14705	G#3	41	80	0	1
32	4.2267	4.95662	Eb4	41	80	0	3
33	4.2267	4.92869	G#4	55	80	0	5
34	4.2267	4.46588	C3	54	80	1	-1
35	4.46611	4.69843	Bb2	50	80	1	-2
36	4.69866	4.92869	G#2	52	80	1	-3
37	4.92984	5.14705	C#4	36	80	0	2
38	4.92984	5.16902	E4	50	80	0	4
39	4.92984	5.16902	C#3	54	80	1	-1
40	5.16925	5.40196	Eb3	50	80	1	-2
41	5.40219	5.6354	C#4	52	80	0	2
42	5.40219	5.6354	E3	52	80	1	-1
43	5.63655	6.33854	A3	41	80	0	1
44	5.63655	6.33854	C4	41	80	0	2
45	5.63655	6.33854	A4	55	80	0	5
46	5.63655	5.87573	F#3	54	80	1	-1
47	5.87596	6.10828	G#3	50	80	1	-2
48	6.10851	6.33854	F#3	52	80	1	-1
49	6.33968	7.74481	G#3	41	80	0	1
50	6.33968	7.04168	C#4	41	80	0	3
51	6.33968	7.74481	G#4	55	80	0	5
52	6.33968	6.57887	E3	54	80	1	-2
53	6.5791	6.81142	Eb3	50	80	1	-3
54	6.81165	7.04168	C#3	52	80	1	-1
55	7.04282	7.74481	Eb4	52	80	0	3
